epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5905.66,0.83956,0.74623,1.21609,0.61651,0.61764,0.60477,0.32405,1.6474,1.53367,2.02851,0.000990365,0.000990365,0.000990365
43,6046.19,0.82992,0.73761,1.2108,0.57563,0.63794,0.59597,0.31161,1.68785,1.57434,2.05507,0.000973861,0.000973861,0.000973861
44,6186.78,0.81713,0.73161,1.20303,0.62062,0.60325,0.60783,0.31972,1.68389,1.52966,2.05602,0.000957358,0.000957358,0.000957358
45,6326.82,0.81979,0.72288,1.20488,0.59665,0.6158,0.60575,0.32149,1.63409,1.53958,1.97938,0.000940855,0.000940855,0.000940855
46,6467.21,0.80737,0.7184,1.19675,0.60622,0.63616,0.62871,0.34589,1.63959,1.48762,2.00775,0.000924352,0.000924352,0.000924352
47,6607.82,0.79977,0.7097,1.18786,0.60769,0.62081,0.61451,0.32287,1.62546,1.50982,1.99875,0.000907848,0.000907848,0.000907848
48,6748.56,0.78767,0.6942,1.17629,0.63188,0.64749,0.63321,0.33357,1.66177,1.50032,2.02928,0.000891345,0.000891345,0.000891345
49,6888.39,0.77915,0.68765,1.17269,0.63799,0.60093,0.61306,0.33131,1.63094,1.51204,1.984,0.000874842,0.000874842,0.000874842
50,7029.28,0.78229,0.68861,1.1755,0.63049,0.62454,0.63215,0.33647,1.62618,1.49159,1.97387,0.000858338,0.000858338,0.000858338
51,7169.26,0.76058,0.67244,1.16098,0.65666,0.63737,0.64688,0.34503,1.61258,1.47469,1.99236,0.000841835,0.000841835,0.000841835
52,7309.92,0.75586,0.6683,1.15677,0.6528,0.60896,0.63899,0.34548,1.62313,1.49922,1.96403,0.000825332,0.000825332,0.000825332
53,7450.74,0.75281,0.6683,1.15597,0.61732,0.64047,0.62607,0.33864,1.62328,1.51801,2.00327,0.000808828,0.000808828,0.000808828
54,7590.38,0.75527,0.6637,1.15459,0.66412,0.61006,0.6345,0.33544,1.62769,1.45572,1.96093,0.000792325,0.000792325,0.000792325
55,7730.49,0.73644,0.64334,1.14079,0.65634,0.62468,0.64,0.34092,1.61072,1.48402,1.95868,0.000775822,0.000775822,0.000775822
56,7870.97,0.72979,0.64367,1.13643,0.63874,0.64939,0.63656,0.34095,1.61397,1.44481,1.94483,0.000759318,0.000759318,0.000759318
57,8011.4,0.72665,0.64164,1.1368,0.66736,0.61724,0.64556,0.34006,1.61857,1.44909,1.93822,0.000742815,0.000742815,0.000742815
58,8152.59,0.72647,0.63217,1.13219,0.65827,0.63156,0.63258,0.34202,1.65153,1.46419,1.97753,0.000726312,0.000726312,0.000726312
59,8293.09,0.71026,0.62496,1.12306,0.65476,0.62305,0.64228,0.35259,1.61064,1.44716,1.94626,0.000709809,0.000709809,0.000709809
60,8433.29,0.71196,0.62741,1.12564,0.64001,0.63749,0.64516,0.35845,1.60192,1.37707,1.93119,0.000693305,0.000693305,0.000693305
61,8573.62,0.71508,0.62847,1.12677,0.65407,0.63858,0.64137,0.35046,1.61596,1.4287,1.94926,0.000676802,0.000676802,0.000676802
62,8713.56,0.70206,0.61166,1.11658,0.67128,0.65966,0.66038,0.3624,1.61489,1.41298,1.96751,0.000660299,0.000660299,0.000660299
63,8854.35,0.69522,0.608,1.11223,0.63537,0.6579,0.66145,0.36234,1.61121,1.40497,1.92687,0.000643795,0.000643795,0.000643795
64,8995.37,0.6885,0.60437,1.11022,0.67805,0.61918,0.65661,0.36091,1.55769,1.42591,1.912,0.000627292,0.000627292,0.000627292
65,9136.25,0.6876,0.60129,1.1099,0.66214,0.60873,0.64426,0.34199,1.61386,1.45125,1.93024,0.000610789,0.000610789,0.000610789
66,9276.15,0.67794,0.59501,1.10232,0.70153,0.62748,0.66337,0.36825,1.57061,1.38806,1.89662,0.000594286,0.000594286,0.000594286
67,9415.97,0.67905,0.59217,1.10147,0.69763,0.60683,0.66703,0.36926,1.57529,1.37698,1.89938,0.000577782,0.000577782,0.000577782
68,9555.94,0.66841,0.58306,1.09395,0.65956,0.61982,0.65484,0.36309,1.5591,1.40885,1.89285,0.000561279,0.000561279,0.000561279
69,9697.03,0.66704,0.58282,1.09404,0.6412,0.62075,0.64555,0.35499,1.57457,1.42705,1.89736,0.000544776,0.000544776,0.000544776
70,9837.5,0.66678,0.58115,1.09573,0.64334,0.64649,0.64725,0.36114,1.5553,1.41057,1.89223,0.000528272,0.000528272,0.000528272
71,9978.42,0.65588,0.57341,1.09037,0.67612,0.62566,0.65569,0.36107,1.56347,1.39983,1.89469,0.000511769,0.000511769,0.000511769
72,10119.2,0.65487,0.57338,1.08841,0.67408,0.60913,0.657,0.36592,1.57054,1.39801,1.89105,0.000495266,0.000495266,0.000495266
73,10260.1,0.64613,0.56338,1.08049,0.64572,0.66902,0.66562,0.3688,1.58723,1.38399,1.90296,0.000478762,0.000478762,0.000478762
74,10400.4,0.64012,0.56008,1.07871,0.69123,0.62876,0.66713,0.36817,1.58547,1.39427,1.89179,0.000462259,0.000462259,0.000462259
75,10540.7,0.63001,0.54854,1.07187,0.67388,0.64484,0.67286,0.37612,1.57727,1.36577,1.88037,0.000445756,0.000445756,0.000445756
76,10681.4,0.63164,0.55236,1.07167,0.67932,0.62035,0.66397,0.36861,1.58608,1.37328,1.91607,0.000429253,0.000429253,0.000429253
77,10821.3,0.6294,0.54509,1.07092,0.67475,0.63823,0.67117,0.37906,1.5683,1.34588,1.90912,0.000412749,0.000412749,0.000412749
78,10961.9,0.6285,0.54918,1.06924,0.68448,0.64145,0.66952,0.37439,1.56284,1.34988,1.89917,0.000396246,0.000396246,0.000396246
79,11102.3,0.62517,0.54353,1.06873,0.70367,0.6294,0.67279,0.37129,1.57127,1.34284,1.89208,0.000379743,0.000379743,0.000379743
80,11242.7,0.61489,0.53467,1.05938,0.68589,0.62727,0.66311,0.37507,1.56424,1.35373,1.87771,0.000363239,0.000363239,0.000363239
81,11382.2,0.61483,0.53919,1.06561,0.71415,0.62296,0.66605,0.37855,1.54784,1.33138,1.87155,0.000346736,0.000346736,0.000346736
82,11523.2,0.60843,0.53149,1.05917,0.7099,0.63112,0.67141,0.3782,1.55089,1.35746,1.86429,0.000330233,0.000330233,0.000330233
83,11663.2,0.60526,0.52948,1.05785,0.71144,0.6212,0.6687,0.37665,1.53854,1.35325,1.84999,0.000313729,0.000313729,0.000313729
84,11804.1,0.60237,0.52302,1.05271,0.7103,0.61413,0.66777,0.3758,1.54587,1.3564,1.8531,0.000297226,0.000297226,0.000297226
85,11944.5,0.59601,0.51989,1.04992,0.69727,0.62535,0.67239,0.37456,1.55184,1.34566,1.86847,0.000280723,0.000280723,0.000280723
86,12084.3,0.59576,0.51624,1.05042,0.71084,0.63737,0.67306,0.37416,1.5505,1.35029,1.86475,0.00026422,0.00026422,0.00026422
87,12224.1,0.59069,0.51443,1.05092,0.72383,0.62615,0.67066,0.37714,1.53031,1.35715,1.83464,0.000247716,0.000247716,0.000247716
88,12364.2,0.58041,0.50507,1.04527,0.69256,0.6441,0.66922,0.38136,1.53066,1.34516,1.84263,0.000231213,0.000231213,0.000231213
